9s 3c Ks 8h 3d 5h Qd, 9s 3c Ks 8h 3d Ac Jc, [5s 7c Js Kh 7d 4h Ad], [5s 7c Js Kh 7d 8c Tc]
5d 2d 8h 9h 6d 7c 7s, 5d 2d 8h 9h 6d 9c 9d, [4d 6d Kh 5h 3d 2c 2s], [4d 6d Kh 5h 3d 5c 5d]
Kh 5c 8h 3d Kc 5s Tc, Kh 5c 8h 3d Kc 7c Js, [Jh 4c Kh 7d Jc 4s Qc], [Jh 4c Kh 7d Jc 2c Ts]
8c 4h Ts 2d 5s 9s Tc, 8c 4h Ts 2d 5s 6d Kh, [Kc 9h Qs 6d 4s 5s Qc], [Kc 9h Qs 6d 4s 3d Jh]
Kd 7s 4c 8d Qd Kc 5d, Kd 7s 4c 8d Qd 3s 3d, [Jd 2s 9c Kd Ad Jc 4d], [Jd 2s 9c Kd Ad 7s 7d]
3d 2h 6s 8d 5c 3s Ks, 3d 2h 6s 8d 5c Td 7d, [7d 6h 3s Kd 4c 7s Js], [7d 6h 3s Kd 4c Qd 2d]
Jh 6s Tc 8h Ks Jd 4d, Jh 6s Tc 8h Ks 9c Kh, [Th 3s Qc Kh Js Td 9d], [Th 3s Qc Kh Js 5c Jh]
Ad 2c 4c 4s Qc Ts 2h, Ad 2c 4c 4s Qc Ks 8c, [8d 6c 9c 9s Ac Qs 6h], [8d 6c 9c 9s Ac Js Kc]
4c Ts 5h 5c 2h Qs 6c, 4c Ts 5h 5c 2h Kh Jh, [9c Qs 4h 4c 6h As 3c], [9c Qs 4h 4c 6h Jh Th]
6h 7c 8s 9d 4c 2h 8h, 6h 7c 8s 9d 4c Qh 9h, [3h 2c Ks 5d 9c 6h Kh], [3h 2c Ks 5d 9c Ah 5h]
7d 5s Jc 2s 6h Kd 9h, 7d 5s Jc 2s 6h Qc 8d, [2d 4s Tc 6s 3h Jd 5h], [2d 4s Tc 6s 3h Ac Kd]
2h 5d 7h Ts 4c Js Jc, 2h 5d 7h Ts 4c 8c 9c, [6h 4d 2h Qs 9c Ts Tc], [6h 4d 2h Qs 9c Kc 5c]
4d 6h 9h Td Ah 8d 8s, 4d 6h 9h Td Ah Kd Ac, [9d 3h 5h Qd 8h Kd Ks], [9d 3h 5h Qd 8h Jd 8c]
4s As 6h Ks Tc Qd Ah, 4s As 6h Ks Tc 3h 3d, [9s 8s 3h Js Qc Ad 8h], [9s 8s 3h Js Qc 7h 7d]
Td Qd 2d 4h Jc Ah Ts, Td Qd 2d 4h Jc 9h 8c, [Qd Ad 6d 9h Tc 8h Qs], [Qd Ad 6d 9h Tc 5h Kc]
Td 2h 7s Js 2c 3c Qh, Td 2h 7s Js 2c 4h 8h, [Qd 6h 2s Ts 6c 7c Ah], [Qd 6h 2s Ts 6c 9h Kh]
Ac Ad Qh 4d 8d 9c Qc, Ac Ad Qh 4d 8d 4s Jd, [8c 8d Ah 9d Kd 5c Ac], [8c 8d Ah 9d Kd 9s Td]
7d Ks Qd 7s Ts Qh 9c, 7d Ks Qd 7s Ts Td 6d, [2d Js Ad 2s Qs Ah 5c], [2d Js Ad 2s Qs Qd 3d]
2c 6s 7h Qh Jd Js 5c, 2c 6s 7h Qh Jd 2d As, [6c 3s 2h Ah Td Ts 4c], [6c 3s 2h Ah Td 6d 8s]
6c 5c Js Kh Qs 5d 7d, 6c 5c Js Kh Qs Ad 3s, [3c 4c Ts Jh As 4d 2d], [3c 4c Ts Jh As 8d 7s]
Ad 2d 5d Th As 9d 8c, Ad 2d 5d Th As Kh 4d, [8d 6d 4d Qh 8s 5d Kc], [8d 6d 4d Qh 8s Jh 9d]
4s Kh Qd 8c 2h Ts Kd, 4s Kh Qd 8c 2h Ah Kc, [9s Jh Ad Kc 6h Qs Jd], [9s Jh Ad Kc 6h 8h Jc]
5h 6c 8h 9c 2d 2h Ah, 5h 6c 8h 9c 2d 4d Jc, [4h 3c Kh 5c 6d 6h 8h], [4h 3c Kh 5c 6d 9d Tc]
7s 2d 6c 3c 6s Qh As, 7s 2d 6c 3c 6s Ad Kd, [2s 6d 3c 7c 3s Ah 8s], [2s 6d 3c 7c 3s 8d Jd]
2d 4c Ah 3d 6c 5h Js, 2d 4c Ah 3d 6c 7c Qs, [6d 9c 8h 7d 3c 4h Ts], [6d 9c 8h 7d 3c 2c As]
9h 2d 6d 7c Jd 5c 2c, 9h 2d 6d 7c Jd Qc 4h, [5h 6d 3d 2c Td 4c 6c], [5h 6d 3d 2c Td Ac 9h]
8c Ad Td Qc 3c 8s 3h, 8c Ad Td Qc 3c Qd 6h, [Kc 8d Qd Ac 7c Ks 7h], [Kc 8d Qd Ac 7c Ad 3h]
8h 5h Tc Jc 3s 5d 8s, 8h 5h Tc Jc 3s Jh Td, [Kh 4h Qc Tc 7s 4d Ks], [Kh 4h Qc Tc 7s Th Qd]
5c Ad Qd 4d Ts Jd 2d, 5c Ad Qd 4d Ts 3s Kd, [4c 8d Ad 9d Qs Td 6d], [4c 8d Ad 9d Qs 7s Jd]
3d 6s 5c 4c Qc 7s 3s, 3d 6s 5c 4c Qc 6h Kh, [7d 3s 4c 9c Ac 2s 7s], [7d 3s 4c 9c Ac 3h Jh]
2h 3c 8c Kh 5c Qs 2d, 2h 3c 8c Kh 5c Js 7h, [6h 7c Kc Jh 4c As 6d], [6h 7c Kc Jh 4c Ts 2h]
Ad 2h Jh 5c 5d 5s Qd, Ad 2h Jh 5c 5d Jc 8s, [8d 6h Th 4c 4d 4s Ad], [8d 6h Th 4c 4d Tc Ks]
6h 3h 4c Ad 7h 7d Ks, 6h 3h 4c Ad 7h Kc Tc, [3h 7h 9c 8d 2h 2d Js], [3h 7h 9c 8d 2h Jc Qc]
Kc 2d 4d 4c Kh 3h Qd, Kc 2d 4d 4c Kh 6s 6d, [Jc 6d 9d 9c Jh 7h Ad], [Jc 6d 9d 9c Jh 3s 3d]
4d Ks 3s Jh 8c Kd Qd, 4d Ks 3s Jh 8c 4c Qs, [9d Js 7s Th Kc Jd Ad], [9d Js 7s Th Kc 9c As]
Kd 9d 4s 8h Qs 7h Kc, Kd 9d 4s 8h Qs 9s 2s, [Jd 5d 9s Kh As 2h Jc], [Jd 5d 9s Kh As 5s 6s]
Jc Qc 5h Jh Qh 5d Ts, Jc Qc 5h Jh Qh 4c 5c, [Tc Ac 4h Th Ah 4d Qs], [Tc Ac 4h Th Ah 9c 4c]
Qc 3c Tc Js Th Kh 7h, Qc 3c Tc Js Th 9d 5s, [Ac 7c Qc Ts Qh Jh 2h], [Ac 7c Qc Ts Qh 5d 4s]
3d Ac 4s Th 3h 4h 6h, 3d Ac 4s Th 3h Ad 2s, [7d 8c 9s Qh 7h 9h 3h], [7d 8c 9s Qh 7h 8d 6s]
Tc 9h 6s Th 4s Kh 4d, Tc 9h 6s Th 4s 8d Qd, [Qc 5h 3s Qh 9s Jh 9d], [Qc 5h 3s Qh 9s Kd Ad]
2h 9s 9h 4h 3c Qc 4d, 2h 9s 9h 4h 3c 3s Kh, [6h 5s 5h 9h 7c Ac 9d], [6h 5s 5h 9h 7c 7s Jh]
